aX,aY,aZ,gX,gY,gZ
-0.142,0.057,0.969,-3.479,-2.930,-0.244
-0.152,0.030,0.943,-2.075,-3.357,-0.366

-0.465,-0.202,1.853,19.775,179.749,51.575
-0.468,-0.160,1.734,20.325,261.902,76.660
-0.360,0.094,1.418,18.982,285.950,83.496
-0.321,0.193,1.367,14.465,304.504,75.989
-0.351,0.030,1.542,13.245,312.988,66.895
-0.370,-0.053,1.626,13.062,362.732,58.899
-0.450,-0.183,1.770,10.742,403.625,58.105
-0.492,-0.281,1.860,8.179,452.026,61.523
-0.490,-0.229,1.748,45.593,565.247,89.294
-0.340,0.160,1.103,76.477,595.825,93.628
-0.223,0.239,0.894,90.271,589.905,71.167
-0.077,0.157,0.773,68.665,576.355,51.331
-0.078,-0.048,0.747,16.235,580.872,29.785
-0.054,-0.273,0.309,7.385,593.445,50.476
0.093,-0.073,0.056,21.362,557.983,111.938
0.376,0.398,-0.031,37.781,516.418,112.366
0.449,0.508,-0.136,52.124,482.361,93.567
0.459,0.600,-0.319,74.707,425.293,36.194
0.148,0.347,-0.576,105.041,390.869,6.165
-0.051,0.027,-0.479,171.020,348.938,15.808
-0.278,0.033,-0.247,177.795,361.389,48.279
-0.271,0.268,-0.597,191.040,394.836,87.463
-0.212,0.631,-1.192,185.059,372.925,96.008
-0.189,0.797,-1.287,160.706,296.692,93.384
-0.202,1.015,-1.349,152.466,261.719,75.989
-0.265,0.958,-1.316,139.465,231.812,53.284
-0.328,0.862,-1.284,115.417,189.087,28.442
-0.246,0.726,-1.260,104.370,167.847,28.198
-0.180,0.751,-1.218,64.514,119.873,30.090
-0.151,0.788,-1.120,48.889,103.516,20.630
-0.114,0.737,-1.109,21.057,84.839,8.423
0.045,0.742,-0.980,14.648,75.073,8.972
0.071,0.712,-0.872,25.940,61.340,-6.409
0.018,0.550,-0.891,23.376,65.002,-13.977
0.005,0.538,-1.055,19.958,66.101,-11.902
0.021,0.550,-1.127,24.231,32.349,7.446
0.104,0.671,-0.990,22.034,18.250,13.428
0.136,0.704,-0.927,-1.465,20.630,3.662
0.099,0.628,-0.861,-12.939,24.048,-5.188
0.062,0.628,-0.812,-17.883,22.156,-19.897
0.044,0.637,-0.800,-12.634,28.687,-29.053
-0.002,0.627,-1.003,-4.578,26.306,-36.865
-0.131,0.705,-1.349,-7.874,-3.906,-35.095
-0.183,0.747,-1.412,-20.203,-84.595,-32.166
-0.269,0.850,-1.403,-27.100,-125.793,-28.931
-0.315,0.942,-1.226,-32.715,-164.917,-28.503
-0.376,0.925,-0.931,-11.292,-207.031,-48.950
-0.360,0.892,-0.938,-2.075,-210.205,-60.608
-0.309,0.920,-1.012,-17.212,-211.121,-74.036
-0.201,1.120,-1.171,-31.860,-215.637,-85.205
-0.222,1.178,-1.249,-28.687,-236.694,-132.874
-0.309,0.931,-1.424,-44.678,-269.836,-149.170
-0.288,0.821,-1.378,-92.102,-395.691,-131.897
-0.309,0.758,-1.060,-81.116,-461.792,-124.451
-0.322,0.566,-0.858,-64.636,-552.246,-136.475
-0.109,0.494,-0.332,-104.736,-572.327,-134.705
-0.040,0.712,-0.145,-139.587,-548.340,-161.438
-0.239,0.744,-0.164,-144.470,-520.081,-202.393
-0.475,0.549,-0.255,-158.264,-509.033,-261.719
-0.903,0.256,0.060,-170.715,-537.415,-260.986
-0.992,0.215,0.586,-185.669,-612.610,-235.046
-0.957,0.129,1.650,-152.527,-633.911,-235.107
-0.946,-0.057,2.014,-37.109,-593.994,-296.326
-0.795,-0.896,2.189,-15.625,-526.978,-321.106
-0.631,-1.107,2.130,-33.508,-443.848,-304.749
-0.291,-0.611,2.012,-89.661,-286.438,-184.631
-0.244,-0.345,1.842,-90.698,-231.323,-139.709
-0.299,-0.339,1.678,-55.908,-192.200,-127.930
-0.315,-0.647,1.619,-46.326,-192.993,-126.343
-0.228,-0.623,1.702,-39.185,-179.565,-90.454
-0.094,-0.393,1.651,-27.344,-157.043,-75.806
-0.117,-0.367,1.460,-4.211,-118.225,-71.228
-0.188,-0.572,1.188,-13.428,-117.249,-68.665
-0.175,-0.630,1.288,-52.490,-128.845,-38.025
-0.107,-0.539,1.409,-54.016,-114.929,-17.883
-0.107,-0.433,1.291,-29.907,-68.787,10.193
-0.081,-0.240,1.117,-29.602,-61.584,16.235
-0.030,-0.147,1.272,-49.377,-62.195,18.250
0.025,-0.036,1.295,-43.701,-47.485,14.343
0.048,0.032,1.132,-35.034,-25.574,4.150
0.002,0.019,0.953,-39.978,-23.682,-4.272
-0.020,-0.066,0.999,-46.448,-24.414,-10.071
-0.031,-0.091,1.081,-40.771,-24.170,-4.211
-0.045,-0.060,1.043,-26.855,-20.813,-1.221
-0.039,-0.052,0.960,-10.254,-22.888,-2.136
-0.008,-0.023,0.960,-14.954,-23.682,-2.075
-0.008,0.005,0.978,-34.485,-15.564,2.563
-0.021,0.017,1.033,-40.588,-13.916,3.418
-0.028,0.023,1.032,-33.142,-17.090,-0.977
-0.046,0.014,1.055,-23.376,-17.944,-3.845
-0.051,-0.001,1.031,-6.042,-14.038,-5.981
-0.054,-0.065,0.966,-6.897,-12.085,-4.639
-0.065,-0.078,0.998,-21.851,-11.108,2.502
-0.069,-0.023,1.020,-22.339,-10.193,6.958
-0.069,0.023,1.023,-16.357,-11.902,8.606
-0.076,-0.032,1.024,-0.610,-14.832,1.587
-0.083,-0.070,0.987,1.648,-12.329,0.061
-0.088,-0.063,0.952,-10.803,-9.766,5.676
-0.080,-0.002,0.993,-18.127,-10.620,7.202
-0.074,0.007,1.008,-17.761,-8.911,5.615
-0.080,-0.017,0.974,-13.367,-7.446,4.761
-0.074,0.001,0.946,-8.972,-5.676,6.042
-0.063,0.079,0.916,-10.132,-4.944,5.005
-0.078,0.065,0.927,-14.709,-9.399,0.000
-0.107,-0.001,0.996,-14.893,-11.292,0.061
-0.109,-0.010,0.993,-10.986,-8.728,3.418
-0.097,-0.010,0.984,-8.789,-7.629,4.578
-0.092,0.005,0.966,-6.714,-5.737,5.188
-0.086,0.052,0.936,-6.592,-3.906,4.028
-0.081,0.063,0.978,-7.996,-6.592,2.075
-0.079,0.051,1.012,-6.897,-6.836,-2.075
-0.099,0.020,0.992,-2.625,-4.761,-1.953
-0.106,0.009,0.964,1.892,-4.395,-0.183
-0.110,0.029,0.975,0.610,-5.432,0.732
-0.108,0.044,1.002,-1.892,-7.141,-0.244
-0.111,0.048,1.038,-3.235,-6.653,-1.892
-0.114,0.036,1.045,-3.479,-2.319,-4.761
-0.112,0.041,1.049,-4.456,1.221,-4.700
-0.120,0.042,1.020,-3.845,5.798,-5.615

-0.522,-0.331,1.732,33.875,405.029,95.764
-0.559,-0.377,1.750,44.678,483.948,141.602
-0.552,-0.034,1.666,57.312,534.546,165.955
-0.554,0.139,1.442,76.294,621.155,175.232
-0.336,0.417,0.745,85.022,629.883,168.640
-0.168,0.408,0.611,74.036,579.346,134.094
-0.109,-0.010,0.817,68.542,560.425,118.958
-0.107,-0.066,0.844,69.031,564.026,119.385
-0.070,0.138,0.650,86.853,607.300,144.043
0.025,0.521,-0.135,89.172,611.816,137.024
0.083,0.464,-0.439,71.106,527.100,95.642
0.161,0.244,-0.349,65.063,460.876,80.994
0.153,0.220,-0.083,83.435,395.874,64.880
0.033,0.276,-0.146,112.000,406.860,60.242
-0.011,0.360,-0.393,135.010,419.067,62.378
-0.036,0.453,-0.561,146.240,396.667,70.862
-0.063,0.624,-0.881,157.715,373.352,72.083
-0.099,0.610,-0.945,160.400,312.439,70.923
-0.149,0.432,-0.806,162.048,279.846,80.261
-0.128,0.601,-0.738,161.438,265.381,112.854
-0.198,1.048,-1.077,148.804,278.564,105.103
-0.263,1.102,-1.199,121.826,241.638,56.641
-0.378,1.207,-1.432,114.868,203.247,36.316
-0.432,1.156,-1.450,99.365,157.104,19.897
-0.489,0.991,-1.229,54.749,71.289,13.916
-0.468,0.844,-0.783,46.875,61.523,26.306
-0.432,0.889,-0.724,23.132,88.318,36.926
-0.371,0.918,-0.924,11.597,98.145,31.738
-0.330,0.932,-1.006,-16.479,68.298,22.888
-0.240,0.877,-0.889,-30.090,44.373,21.667
-0.188,0.853,-0.845,-23.865,18.677,18.799
-0.048,0.753,-0.814,-6.348,10.925,12.939
0.015,0.703,-0.785,4.395,3.540,6.226
0.118,0.666,-0.705,3.845,-4.700,-3.723
0.170,0.698,-0.700,1.465,-3.723,-6.470
0.196,0.740,-0.741,-1.953,3.784,-18.616
0.155,0.713,-0.796,-4.089,2.258,-27.649
0.098,0.672,-0.802,-8.118,-3.906,-36.926
-0.012,0.636,-0.871,-9.460,-6.653,-35.339
-0.033,0.638,-0.890,-12.329,-25.818,-26.917
-0.026,0.655,-0.844,-15.076,-39.246,-23.560
