aX,aY,aZ,gX,gY,gZ
-0.021,0.032,-1.007,1.404,-3.784,-0.061
-0.014,0.025,-1.006,0.366,-1.953,-0.305
-0.021,0.013,-1.008,-1.099,0.854,-0.244

0.643,0.606,1.506,-228.027,29.663,253.113
0.600,0.833,1.439,-238.464,189.148,220.825
0.647,1.271,1.149,-225.281,261.292,204.041
0.668,1.353,0.950,-178.589,371.277,158.691
0.576,1.370,0.468,-155.884,402.222,109.802
0.479,1.315,0.203,-126.099,410.034,44.800
0.432,1.112,-0.241,-38.208,365.112,-81.543
0.502,0.941,-0.443,8.606,328.430,-129.272
0.614,0.786,-0.654,107.300,260.498,-209.717
0.828,0.609,-0.937,147.217,235.596,-247.314
0.782,0.533,-0.981,170.349,204.590,-267.883
0.562,0.235,-1.127,158.447,182.739,-222.778
0.601,0.048,-1.137,83.252,82.520,-104.248
0.746,-0.205,-0.895,59.937,22.705,-86.060
0.847,-0.224,-0.836,81.543,-39.368,-104.187
0.984,-0.198,-0.851,90.210,-33.630,-102.112
0.936,-0.235,-0.801,82.336,-12.817,-86.975
0.837,-0.290,-0.724,50.110,23.865,-49.377
0.670,-0.289,-0.597,35.645,22.583,-32.715
0.678,-0.246,-0.546,-1.221,-8.972,-1.648
0.766,-0.252,-0.418,-16.907,-23.071,8.118
0.769,-0.276,-0.329,-20.386,-31.677,19.531
0.749,-0.279,-0.171,-12.268,-27.283,27.344
0.723,-0.233,-0.140,-0.977,-9.460,50.903
0.684,-0.104,-0.111,-10.803,-0.305,65.186
0.705,-0.061,-0.108,-56.396,21.973,86.182
0.754,-0.066,-0.133,-83.069,35.034,90.637
0.752,-0.116,-0.138,-119.324,57.251,100.769
0.680,-0.198,-0.124,-122.620,64.758,109.741
0.667,-0.185,-0.115,-117.920,68.848,120.239
0.687,-0.154,-0.101,-91.797,71.655,136.353
0.742,-0.039,-0.141,-70.923,80.444,140.991
0.734,0.063,-0.238,-44.128,122.375,143.372
0.615,0.243,-0.435,-51.392,143.005,143.799
0.555,0.281,-0.481,-90.393,164.673,153.687
0.501,0.358,-0.538,-108.887,168.335,163.269
0.524,0.404,-0.590,-136.047,167.358,170.654
0.526,0.451,-0.684,-134.399,163.940,158.203
0.475,0.490,-0.720,-94.116,158.630,119.263
0.349,0.643,-0.822,-74.280,159.851,105.041
0.329,0.729,-0.899,-69.153,162.720,96.375
0.337,0.756,-0.966,-112.183,167.419,85.449
0.368,0.598,-1.011,-138.855,171.326,78.064
0.343,0.489,-1.023,-140.198,183.838,55.786
0.223,0.339,-1.066,-112.793,186.218,40.466
0.163,0.313,-1.106,-39.978,178.040,12.024
0.074,0.364,-1.233,-13.123,171.082,4.272
0.039,0.412,-1.289,-7.324,156.921,2.686
-0.024,0.494,-1.331,-28.381,148.193,5.615
-0.022,0.479,-1.316,-60.181,137.207,9.094
0.001,0.404,-1.280,-118.225,112.427,10.376
0.014,0.198,-1.209,-127.808,101.379,6.226
-0.002,0.114,-1.203,-104.431,75.867,-8.423
-0.033,0.019,-1.200,-79.712,60.669,-14.160
-0.036,0.023,-1.182,-31.860,37.659,-16.907
-0.017,0.082,-1.138,-18.921,34.485,-16.846
-0.016,0.100,-1.134,-18.555,41.321,-17.029
-0.038,0.095,-1.121,-25.024,45.837,-15.808
-0.047,0.079,-1.100,-34.729,45.715,-13.733
-0.062,0.034,-1.051,-33.691,41.138,-13.794
-0.063,0.021,-1.041,-21.057,26.672,-10.315
-0.035,0.030,-1.055,-14.832,20.630,-7.263
-0.031,0.036,-1.062,-12.268,18.127,-5.310
-0.041,0.035,-1.062,-14.404,22.156,-3.418
-0.070,0.031,-1.056,-15.320,24.475,-2.136
-0.079,0.037,-1.049,-12.146,23.071,0.488
-0.091,0.070,-1.038,-8.545,19.531,1.526
-0.082,0.091,-1.040,-5.188,8.362,1.831
-0.047,0.094,-1.033,-7.141,4.333,0.549
-0.043,0.073,-1.026,-10.681,5.859,-3.174
-0.053,0.034,-1.011,-8.911,8.606,-4.456
-0.055,0.034,-1.010,0.183,10.559,-5.737
-0.063,0.074,-1.009,4.639,9.705,-6.653
-0.073,0.098,-1.014,7.568,8.057,-8.179
-0.091,0.110,-1.037,6.165,0.122,-12.695
-0.086,0.094,-1.042,2.869,-5.066,-13.611
-0.077,0.073,-1.039,-2.014,-9.338,-10.010
-0.057,0.043,-1.022,-2.380,-7.935,-6.897
-0.048,0.039,-1.016,-0.488,-2.441,-3.723
-0.044,0.045,-1.010,1.160,0.183,-3.662
-0.053,0.052,-1.010,4.761,3.601,-4.211
-0.078,0.073,-1.025,5.371,2.991,-4.456
-0.083,0.076,-1.029,3.479,-2.502,-4.761
-0.078,0.067,-1.014,2.319,-4.578,-4.028
-0.068,0.061,-1.004,1.038,-3.662,-2.014
-0.055,0.047,-0.996,1.221,-1.587,-1.953
-0.062,0.047,-0.999,4.028,1.404,-3.418
-0.078,0.059,-1.010,6.042,0.610,-5.066
-0.082,0.062,-1.011,8.301,-1.831,-6.897
-0.080,0.066,-1.013,12.695,-7.629,-8.179
-0.067,0.085,-1.018,13.123,-9.338,-7.812
-0.061,0.091,-1.017,7.080,-10.437,-7.141
-0.048,0.081,-1.007,3.235,-9.766,-6.714
